"id","portfolio_name","project_name","site_name","owner_organization","service_organization","data_source","date","deficiencies","description","symbol_code","lat","lon"
8206,"North River Midstream Inspection","North River GLARS Pipeline Inspections","","North River Midstream Integrity","ProDelta","P:\North_River_Midstream\2023883-Pipeline_Inspection\NRM_Data\Sites_of_Interest.gdb\GLARS","2019-10-06","18_ Alaska Hwy 2022_excel_row_18_Over Growth","2019/2020 patrol noted crossing in poor condition, email sent 2019 10 06 & 2020 10 08 - see photos. Ground recon recommended.
2021 patrol to present noted vegetation growth obscuring observations","over_growth",56.7516019952954,-121.861954073506
2885,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Erosion 2","Slope erosion","erosion",57.3354361013114,-120.757107847353
2886,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Erosion 3","Small pond forming on row","erosion",57.2960677248157,-121.09620300672
2887,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Erosion 4","A bit of bank erosion. Vegetated so hard to tell extent","erosion",57.374235756642,-121.181781575971
2888,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Beaver Dam","","beaver",57.0954411110832,-121.475491178133
2889,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Erosion 5","Side slope eroding","erosion",56.5072465019811,-120.734270030989
2890,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Erosion 6","Slope erosion","erosion",56.4700067009572,-120.737387887324
2891,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Erosion 7","Steep slope erosion","erosion",55.9714845543731,-119.991821166476
2892,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Erosion 8","Water pooling on pad","erosion",55.7000367709922,-120.306624148236
2893,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Erosion 9","slumping still present","erosion",56.6717058689188,-120.788189144382
2894,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Erosion 10","Erosion downslope of pipeline. Cutting fairly deep","erosion",56.6965848547076,-120.744116773044
2895,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Erosion 11","Pad has erosion issues in multiple locations","erosion",56.6573995758255,-121.21212777803
2896,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Erosion 12","Lateral erosion still present","erosion",56.8921906441145,-121.403328218578
2897,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Erosion 13","Downcutting still occurring","erosion",56.9166446659447,-121.417783810906
2898,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Erosion 14","Downcutting from stream","erosion",56.9938481139539,-121.477711769656
2899,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Erosion 15","Erosion at base of flare stack","erosion",56.945874789088,-122.07311967122
2900,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Erosion 16","","erosion",58.6677446999173,-122.601070404053
2901,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Erosion 17","","erosion",58.671063905791,-122.503918937736
2902,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Erosion 18","","erosion",58.6753313084112,-122.367696762085
2884,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Erosion 1","Surface erosion","erosion",57.0664029984463,-120.613364647339
